case_id,analyst_id,customer_type,country,risk_rating,review_type,open_date,due_date,completion_date,case_status
KYC-0001,ANL-08,Corporate,Italy,Medium,Onboarding,2026-09-17,2026-10-17,,In Progress
KYC-0002,ANL-06,Individual,Italy,Low,Onboarding,2026-08-18,2026-09-22,,In Progress
KYC-0003,ANL-04,Individual,Cyprus,Medium,Periodic,2026-05-08,2026-06-22,2026-06-18,Completed
KYC-0004,ANL-01,Individual,Cyprus,Low,Onboarding,2026-08-05,2026-09-09,,Open
KYC-0005,ANL-07,Individual,Italy,Low,Periodic,2026-09-13,2026-11-02,,In Progress
KYC-0006,ANL-06,Corporate,Italy,Low,Onboarding,2026-05-15,2026-06-19,2026-06-01,Completed
KYC-0007,ANL-05,Individual,Italy,Medium,Onboarding,2026-09-14,2026-10-14,,Open
KYC-0008,ANL-03,Individual,Spain,Low,Onboarding,2026-08-23,2026-09-27,2026-08-31,Completed
KYC-0009,ANL-08,Individual,Greece,Low,Triggered,2026-08-07,2026-09-02,,In Progress
KYC-0010,ANL-06,Corporate,Cyprus,Low,Onboarding,2026-09-16,2026-10-21,,In Progress
KYC-0011,ANL-05,Individual,Cyprus,Low,Periodic,2026-03-19,2026-05-08,2026-04-11,Completed
KYC-0012,ANL-05,Individual,Netherlands,Low,Periodic,2026-08-13,2026-10-02,2026-09-08,Completed
KYC-0013,ANL-03,Individual,Spain,Low,Periodic,2026-05-16,2026-07-05,2026-07-08,Completed
KYC-0014,ANL-04,Corporate,Cyprus,Low,Onboarding,2026-09-22,2026-10-27,,Open
KYC-0015,ANL-06,Individual,Netherlands,High,Triggered,2026-06-05,2026-06-21,2026-07-06,Completed
KYC-0016,ANL-03,Individual,Netherlands,Medium,Onboarding,2025-12-29,2026-01-28,2026-01-16,Completed
KYC-0017,ANL-03,Individual,France,Low,Periodic,2026-06-27,2026-08-16,2026-07-11,Completed
KYC-0018,ANL-02,Corporate,Netherlands,Low,Periodic,2026-09-12,2026-11-01,,In Progress
KYC-0019,ANL-07,Corporate,France,Medium,Periodic,2026-03-25,2026-05-09,2026-05-20,Completed
KYC-0020,ANL-07,Corporate,France,Medium,Periodic,2026-06-16,2026-07-31,2026-08-08,Completed
KYC-0021,ANL-07,Individual,Greece,Medium,Periodic,2025-12-27,2026-02-10,2026-03-01,Completed
KYC-0022,ANL-02,Individual,Netherlands,Low,Periodic,2026-08-19,2026-10-08,,In Progress
KYC-0023,ANL-08,Corporate,Italy,Medium,Periodic,2026-08-11,2026-09-25,,Open
KYC-0024,ANL-07,Individual,Greece,High,Onboarding,2026-04-12,2026-05-07,2026-05-20,Completed
KYC-0025,ANL-06,Corporate,Greece,Low,Periodic,2026-01-25,2026-03-16,2026-02-11,Completed
KYC-0026,ANL-01,Corporate,Cyprus,High,Periodic,2026-03-03,2026-04-12,2026-04-14,Completed
KYC-0027,ANL-01,Individual,Spain,Medium,Onboarding,2026-09-07,2026-10-07,,In Progress
KYC-0028,ANL-03,Individual,France,Medium,Onboarding,2026-08-25,2026-09-24,,In Progress
KYC-0029,ANL-08,Individual,Netherlands,Medium,Periodic,2026-07-18,2026-09-01,,Open
KYC-0030,ANL-04,Individual,Netherlands,Low,Periodic,2026-09-20,2026-11-09,,In Progress
KYC-0031,ANL-08,Corporate,Germany,Medium,Periodic,2026-08-27,2026-10-11,2026-09-05,Completed
KYC-0032,ANL-04,Individual,Germany,High,Triggered,2026-07-09,2026-07-25,2026-08-28,Completed
KYC-0033,ANL-08,Corporate,Greece,Medium,Periodic,2026-09-05,2026-10-20,,In Progress
KYC-0034,ANL-03,Corporate,Cyprus,Medium,Periodic,2026-06-02,2026-07-17,2026-08-03,Completed
KYC-0035,ANL-08,Individual,Cyprus,Low,Onboarding,2026-08-27,2026-10-01,,In Progress
KYC-0036,ANL-08,Corporate,France,Medium,Periodic,2026-09-18,2026-11-02,,In Progress
KYC-0037,ANL-08,Individual,Cyprus,Low,Periodic,2025-12-25,2026-02-13,2026-01-15,Completed
KYC-0038,ANL-04,Individual,Italy,Low,Triggered,2026-07-27,2026-08-22,,In Progress
KYC-0039,ANL-04,Individual,France,Low,Onboarding,2026-09-22,2026-10-27,,In Progress
KYC-0040,ANL-07,Individual,Cyprus,Low,Periodic,2026-09-07,2026-10-27,,Open
KYC-0041,ANL-03,Corporate,France,Medium,Periodic,2026-05-23,2026-07-07,2026-06-24,Completed
KYC-0042,ANL-01,Individual,Italy,Medium,Triggered,2026-01-14,2026-02-04,2026-01-22,Completed
KYC-0043,ANL-07,Corporate,Greece,Low,Onboarding,2026-08-28,2026-10-02,2026-09-06,Completed
KYC-0044,ANL-05,Individual,France,Low,Periodic,2026-08-26,2026-10-15,,Open
KYC-0045,ANL-05,Individual,Germany,Low,Periodic,2026-04-22,2026-06-11,2026-06-18,Completed
KYC-0046,ANL-07,Individual,Greece,Low,Onboarding,2026-09-14,2026-10-19,,In Progress
KYC-0047,ANL-07,Individual,Netherlands,Medium,Triggered,2026-08-04,2026-08-25,,In Progress
KYC-0048,ANL-03,Individual,France,Medium,Triggered,2026-09-06,2026-09-27,,Open
KYC-0049,ANL-08,Individual,Cyprus,High,Onboarding,2026-06-03,2026-06-28,2026-07-09,Completed
